Data File Name,Ggoyal_High Sensitivity DNA Assay_DE24802700_2018-02-06_13-10-41.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, February 06, 2018 9:10:42 PM"
Date Last Modified,"Tuesday, February 06, 2018 10:15:47 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
61.15,-1.089732
61.2,-1.052637
61.25,-0.9718483
61.3,-0.9548753
61.35,-0.9930195
61.4,-1.005923
61.45,-0.9734536
61.5,-0.9011497
61.55,-0.8585923
61.6,-0.8675799
61.65,-0.8868588
61.7,-0.9475538
61.75,-1.01765
61.8,-1.079436
61.85,-1.137482
61.9,-1.159756
61.95,-1.204422
62,-1.233536
62.05,-1.234268
62.1,-1.244873
62.15,-1.272708
62.2,-1.350224
62.25,-1.389157
62.3,-1.400521
62.35,-1.415194
62.4,-1.488511
62.45,-1.572025
62.5,-1.656206
62.55,-1.742553
62.6,-1.723698
62.65,-1.637374
62.7,-1.585279
62.75,-1.608122
62.8,-1.654132
62.85,-1.692587
62.9,-1.7308
62.95,-1.757853
63,-1.720657
63.05,-1.709051
63.1,-1.740009
63.15,-1.801122
63.2,-1.795137
63.25,-1.886408
63.3,-1.958553
63.35,-2.02415
63.4,-1.989667
63.45,-1.983343
63.5,-1.950375
63.55,-1.935809
63.6,-1.91505
63.65,-1.894926
63.7,-1.849233
63.75,-1.825104
63.8,-1.826986
63.85,-1.839319
63.9,-1.868729
63.95,-1.889147
64,-1.905296
64.05,-1.999602
64.1,-2.093892
64.15,-2.108375
64.2,-2.027884
64.25,-1.945328
64.3,-1.866598
64.35,-1.804318
64.4,-1.876551
64.45,-1.956683
64.5,-2.058226
64.55,-2.058769
64.6,-2.105479
64.65,-2.159154
64.7,-2.118109
64.75,-2.088945
64.8,-2.044718
64.85,-1.983564
64.9,-1.982496
64.95,-1.98585
65,-2.042236
65.05,-2.090842
65.1,-2.072355
65.15,-2.059814
65.2,-2.114806
65.25,-2.13221
65.3,-2.163541
65.35,-2.159247
65.4,-2.1943
65.45,-2.299573
65.5,-2.31095
65.55,-2.314296
65.6,-2.229304
65.65,-2.0837
65.7,-2.026542
65.75,-2.048274
65.8,-2.13374
65.85,-2.203465
65.9,-2.241953
65.95,-2.232739
66,-2.169144
66.05,-2.150411
66.1,-2.171025
66.15,-2.192172
66.2,-2.210548
66.25,-2.188299
66.3,-2.167413
66.35,-2.198592
66.4,-2.239053
66.45,-2.252796
66.5,-2.307108
66.55,-2.393663
66.6,-2.475022
66.65,-2.556473
66.7,-2.543224
66.75,-2.515789
66.8,-2.415226
66.85,-2.375868
66.9,-2.410354
66.95,-2.399588
67,-2.093506
67.05,-1.179557
67.1,0.864224
67.15,4.46875
67.2,10.45945
67.25,18.86589
67.3,29.516
67.35,40.87944
67.4,51.69372
67.45,59.94376
67.5,64.01075
67.55,63.43871
67.6,58.76948
67.65,51.10041
67.7,41.60721
67.75,31.84996
67.8,23.12504
67.85,15.85298
67.9,10.48762
67.95,7.04363
68,5.045532
68.05,3.934141
