Data File Name,nextera4_jlc_High Sensitivity DNA Assay_DE24802700_2016-11-10_11-15-46.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Thursday, November 10, 2016 7:15:46 PM",,
Date Last Modified,"Thursday, November 16, 2017 8:08:45 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,10,,
 ,,,
Sample Name,20161111,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
66.7,4.986062,,
66.75,4.957735,,
66.8,5.067479,,
66.85,5.258961,,
66.9,5.4651,,
66.95,5.685819,,
67,5.924239,,
67.05,6.133838,,
67.1,6.211229,,
67.15,6.192212,,
67.2,6.138057,,
67.25,6.155869,,
67.3,6.112549,,
67.35,5.933764,,
67.4,6.093189,,
67.45,6.268751,,
67.5,6.255319,,
67.55,6.257739,,
67.6,6.306484,,
67.65,6.367309,,
67.7,6.473128,,
67.75,6.518134,,
67.8,6.574496,,
67.85,6.858422,,
67.9,6.906706,,
67.95,7.045413,,
68,7.144426,,
68.05,7.049719,,
68.1,6.995202,,
68.15,6.953015,,
68.2,7.004607,,
68.25,7.127461,,
68.3,7.197861,,
68.35,7.22616,,
68.4,7.298239,,
68.45,7.355925,,
68.5,7.465304,,
68.55,7.599154,,
68.6,7.800958,,
68.65,7.97647,,
68.7,8.153087,,
68.75,8.255991,,
68.8,8.43496,,
68.85,8.664922,,
68.9,8.781492,,
68.95,8.802675,,
69,8.818217,,
69.05,8.862494,,
69.1,8.958999,,
69.15,8.998238,,
69.2,9.158463,,
69.25,9.482785,,
69.3,9.566957,,
69.35,9.464868,,
69.4,9.326735,,
69.45,9.168444,,
69.5,9.242527,,
69.55,9.333641,,
69.6,9.40659,,
69.65,9.523043,,
69.7,9.611245,,
69.75,9.698134,,
69.8,9.88144,,
69.85,9.947124,,
69.9,10.29625,,
69.95,10.69547,,
70,10.79115,,
70.05,10.73784,,
70.1,10.69658,,
70.15,10.75135,,
70.2,10.84097,,
70.25,10.85819,,
70.3,10.96836,,
70.35,11.14405,,
70.4,11.10994,,
70.45,10.97867,,
70.5,10.92944,,
70.55,10.92347,,
70.6,11.04309,,
70.65,11.16624,,
70.7,11.39305,,
70.75,11.96216,,
70.8,12.31939,,
70.85,12.23202,,
70.9,12.09511,,
70.95,11.94008,,
71,11.71177,,
71.05,11.54798,,
71.1,11.48872,,
71.15,11.56088,,
71.2,11.65562,,
71.25,11.45855,,
71.3,11.65581,,
71.35,12.07565,,
71.4,12.26407,,
71.45,12.36549,,
71.5,12.38614,,
71.55,12.35572,,
71.6,12.38909,,
71.65,12.42638,,
71.7,12.45563,,
71.75,12.55707,,
71.8,12.63752,,
71.85,12.7752,,
71.9,12.72285,,
71.95,12.69381,,
72,13.08313,,
72.05,13.38374,,
72.1,13.42581,,
72.15,13.50183,,
72.2,13.60082,,
72.25,13.6666,,
72.3,13.7473,,
72.35,13.93078,,
72.4,14.19333,,
72.45,14.31209,,
72.5,14.07996,,
72.55,13.79955,,
72.6,13.68756,,
72.65,13.80855,,
72.7,14.07288,,
72.75,14.42248,,
72.8,14.56769,,
72.85,14.6087,,
72.9,14.6148,,
72.95,14.60958,,
73,14.6371,,
73.05,14.76296,,
73.1,14.95628,,
73.15,15.09574,,
73.2,15.21707,,
73.25,15.0459,,
73.3,15.01924,,
73.35,15.1544,,
73.4,15.15022,,
73.45,15.15805,,
73.5,15.28381,,
73.55,15.50318,,
73.6,15.64813,,
73.65,15.59945,,
73.7,15.58693,,
73.75,15.75757,,
73.8,15.82685,,
73.85,15.81581,,
73.9,15.95412,,
73.95,16.15206,,
74,16.25048,,
74.05,16.117,,
74.1,16.12084,,
74.15,16.16153,,
74.2,16.00393,,
74.25,16.04035,,
74.3,16.31099,,
74.35,16.56004,,
74.4,16.74469,,
74.45,16.95225,,
74.5,17.21364,,
74.55,17.73435,,
74.6,17.87932,,
74.65,17.85372,,
74.7,17.93171,,
74.75,17.70242,,
74.8,17.38256,,
74.85,17.39076,,
74.9,17.5922,,
74.95,17.9177,,
75,18.19429,,
75.05,18.33453,,
75.1,18.50525,,
75.15,18.66889,,
75.2,18.50447,,
75.25,18.55102,,
75.3,18.76752,,
75.35,18.50391,,
75.4,18.33619,,
75.45,18.01622,,
75.5,17.7783,,
75.55,17.89325,,
75.6,18.19253,,
75.65,18.61736,,
75.7,18.97364,,
75.75,19.12671,,
75.8,19.31725,,
75.85,19.61514,,
75.9,19.76039,,
75.95,19.83522,,
76,19.76335,,
76.05,19.61279,,
76.1,19.44256,,
76.15,19.56255,,
