Data File Name,JAM,_JLC_High Sensitivity DNA Assay_DE24802700_2017-09-06_14-50-13.xad,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Wednesday, September 06, 2017 9:50:13 PM",,
Date Last Modified,"Thursday, November 16, 2017 8:08:48 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,nextera0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
78.65,34.68501,,
78.7,34.37178,,
78.75,34.86663,,
78.8,36.48545,,
78.85,38.4315,,
78.9,39.57301,,
78.95,39.0507,,
79,37.80426,,
79.05,36.52618,,
79.1,35.77739,,
79.15,34.93832,,
79.2,34.05998,,
79.25,33.81511,,
79.3,34.0993,,
79.35,35.59313,,
79.4,37.97547,,
79.45,40.11582,,
79.5,41.3611,,
79.55,41.87023,,
79.6,41.94865,,
79.65,42.11975,,
79.7,42.55911,,
79.75,42.89091,,
79.8,42.85964,,
79.85,42.57989,,
79.9,42.58105,,
79.95,43.23092,,
80,44.38857,,
80.05,45.11638,,
80.1,45.69757,,
80.15,46.1152,,
80.2,46.15787,,
80.25,45.64331,,
80.3,44.09813,,
80.35,43.90055,,
80.4,43.64679,,
80.45,44.22606,,
80.5,43.64086,,
80.55,44.13858,,
80.6,43.47172,,
80.65,42.6153,,
80.7,42.64046,,
80.75,43.65317,,
80.8,44.76115,,
80.85,46.85831,,
80.9,48.44402,,
80.95,49.78374,,
81,50.44726,,
81.05,50.70086,,
81.1,50.54663,,
81.15,50.19417,,
81.2,50.05774,,
81.25,50.42475,,
81.3,51.59233,,
81.35,53.20693,,
81.4,54.58214,,
81.45,55.22348,,
81.5,55.27337,,
81.55,55.6309,,
81.6,55.81554,,
81.65,55.85013,,
81.7,56.42001,,
81.75,57.10282,,
81.8,56.79848,,
81.85,56.84988,,
81.9,56.32888,,
81.95,55.71006,,
82,54.96504,,
82.05,54.04586,,
82.1,53.53575,,
82.15,53.93464,,
82.2,55.51427,,
82.25,58.06048,,
82.3,59.41598,,
82.35,59.83861,,
82.4,60.58352,,
82.45,61.0781,,
82.5,60.75542,,
82.55,60.28888,,
82.6,60.00603,,
82.65,60.27818,,
82.7,61.12126,,
82.75,62.63691,,
82.8,64.17587,,
82.85,64.79731,,
82.9,64.86903,,
82.95,65.24812,,
83,66.19736,,
83.05,67.35011,,
83.1,68.10603,,
83.15,68.26939,,
83.2,67.50108,,
83.25,66.26605,,
83.3,66.01163,,
83.35,65.77931,,
83.4,65.44728,,
83.45,66.01339,,
83.5,67.15714,,
