Data File Name,Nextera2_jlc_High Sensitivity DNA Assay_DE24802700_2016-09-01_11-31-05.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Thursday, September 01, 2016 6:31:05 PM"
Date Last Modified,"Friday, November 17, 2017 12:23:26 AM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
84.6,31.21515
84.65,26.83181
84.7,23.96517
84.75,21.36276
84.8,18.6768
84.85,16.42695
84.9,14.40835
84.95,12.54778
85,10.57496
85.05,8.96819
85.1,7.844947
85.15,6.581535
85.2,5.635072
85.25,4.883657
85.3,4.411075
85.35,3.761436
85.4,3.049965
85.45,2.372429
85.5,1.789912
85.55,1.368486
85.6,1.016645
85.65,0.615522
85.7,0.2355782
85.75,-5.952532E-02
85.8,-0.1948607
85.85,-0.3432015
85.9,-0.5763023
85.95,-0.8950729
86,-1.207253
86.05,-1.654103
86.1,-1.77366
86.15,-1.720957
86.2,-1.713844
86.25,-1.961949
86.3,-2.151817
86.35,-2.184669
86.4,-2.312705
86.45,-2.481854
86.5,-2.577432
86.55,-2.596701
86.6,-2.745494
86.65,-2.759704
86.7,-2.713541
86.75,-2.79341
86.8,-2.936275
86.85,-3.048308
86.9,-3.034738
86.95,-2.970465
87,-2.888177
87.05,-2.819058
87.1,-2.855623
87.15,-2.846707
87.2,-2.799855
87.25,-2.554192
87.3,-2.45749
87.35,-2.479805
87.4,-2.627778
87.45,-2.798316
87.5,-2.89425
87.55,-3.018794
87.6,-3.02722
87.65,-2.966996
87.7,-3.082396
87.75,-2.92664
87.8,-2.305905
87.85,-0.8463424
87.9,1.939496
87.95,6.710897
88,15.51343
88.05,29.04247
88.1,48.37806
88.15,74.9429
88.2,109.1153
88.25,149.6554
88.3,193.913
88.35,237.8166
88.4,279.4134
88.45,315.3004
88.5,342.2692
88.55,359.2352
88.6,365.6006
88.65,360.6339
88.7,344.0182
88.75,319.1293
88.8,287.4459
88.85,251.7152
88.9,214.5178
88.95,180.3407
89,150.6225
89.05,125.7141
89.1,105.396
89.15,88.13004
89.2,73.10884
89.25,60.72222
89.3,50.90786
89.35,44.07039
89.4,38.73705
89.45,33.72193
89.5,28.54835
89.55,23.49447
89.6,19.42243
89.65,16.28456
89.7,14.16342
89.75,12.26341
89.8,10.40548
89.85,8.608202
89.9,6.943946
89.95,5.565994
90,4.457332
90.05,3.729048
90.1,3.239154
90.15,2.52308
90.2,1.900325
90.25,1.281906
90.3,0.5661938
90.35,0.0855177
90.4,-0.2679869
90.45,-0.3845016
90.5,-0.5520221
90.55,-0.9745457
90.6,-1.259906
90.65,-1.715852
90.7,-1.914332
90.75,-1.927384
90.8,-1.498187
90.85,-0.392565
90.9,1.533709
90.95,4.863569
91,11.13118
91.05,20.77679
91.1,36.16412
91.15,57.48977
91.2,85.33256
91.25,119.2971
91.3,157.3186
91.35,197.3824
91.4,237.0948
91.45,273.6138
91.5,305.2571
91.55,330.5121
91.6,346.4514
91.65,353.1918
91.7,348.7592
91.75,332.9359
91.8,309.1617
91.85,279.6259
91.9,246.1909
91.95,210.7031
92,177.1188
92.05,148.3775
92.1,122.947
92.15,102.7999
92.2,87.74635
92.25,74.76167
92.3,64.35819
92.35,55.71383
92.4,48.72619
92.45,42.24115
92.5,35.97293
92.55,30.69083
92.6,26.72756
92.65,23.46349
92.7,20.68399
92.75,17.94639
92.8,15.68711
92.85,13.2769
92.9,11.14369
92.95,9.75472
93,8.463823
93.05,7.286703
93.1,6.083547
93.15,5.15698
93.2,4.448118
93.25,3.626822
93.3,3.236234
93.35,2.97325
93.4,2.275858
93.45,1.653594
93.5,1.012621
93.55,0.8746828
93.6,0.7214937
93.65,0.5320323
93.7,0.4482739
93.75,0.2014519
93.8,-0.2136834
93.85,-0.6222497
93.9,-0.6723152
93.95,-0.8257962
