Data File Name,nk_03_06_2018_High Sensitivity DNA Assay_DE24802700_2018-03-06_15-11-01.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, March 06, 2018 11:11:01 PM"
Date Last Modified,"Tuesday, March 06, 2018 11:52:20 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
83.1,402.2713
83.15,395.1673
83.2,370.4155
83.25,332.3386
83.3,287.2728
83.35,239.6246
83.4,194.0649
83.45,154.4364
83.5,124.0057
83.55,102.8482
83.6,87.74104
83.65,76.83039
83.7,69.07823
83.75,62.47459
83.8,57.32579
83.85,52.76653
83.9,48.9135
83.95,45.41041
84,41.26858
84.05,38.08163
84.1,34.85866
84.15,31.95861
84.2,29.45736
84.25,27.05921
84.3,25.02525
84.35,22.82174
84.4,20.29528
84.45,18.19805
84.5,16.09484
84.55,14.29745
84.6,12.77522
84.65,11.63334
84.7,10.65326
84.75,9.625736
84.8,8.566482
84.85,7.864782
84.9,7.485625
84.95,7.096698
85,6.815114
85.05,6.358123
85.1,5.590324
85.15,4.87825
85.2,4.355505
85.25,3.986125
85.3,3.839016
85.35,3.751276
85.4,3.652356
85.45,3.499312
85.5,3.240335
85.55,2.89093
85.6,2.497062
85.65,2.177274
85.7,1.894638
85.75,1.668688
85.8,1.600271
85.85,1.506744
85.9,1.355857
85.95,1.310699
86,1.239759
86.05,1.069754
86.1,1.030482
86.15,1.026733
86.2,0.9073712
86.25,1.018162
86.3,1.087645
86.35,1.085095
86.4,1.028395
86.45,1.042744
86.5,0.9779607
86.55,0.7974689
86.6,0.7958202
86.65,0.7019185
86.7,0.6424974
86.75,0.7179875
86.8,0.7444044
86.85,0.8662488
86.9,1.164535
86.95,2.013414
87,3.763261
87.05,7.375079
87.1,13.83934
87.15,24.8032
87.2,42.96316
87.25,70.09598
87.3,107.4944
87.35,154.6738
87.4,208.83
87.45,266.4357
87.5,322.4335
87.55,371.088
87.6,406.5807
87.65,426.4679
87.7,427.544
87.75,411.911
87.8,382.6901
87.85,344.8877
87.9,302.3508
87.95,257.631
88,215.7975
88.05,180.6299
88.1,150.6018
88.15,128.1491
88.2,110.7579
88.25,98.11172
88.3,87.14465
88.35,77.89541
88.4,70.5062
88.45,64.00285
88.5,56.94734
88.55,50.94204
88.6,45.04465
88.65,39.7177
88.7,34.67492
88.75,30.33958
88.8,26.70791
88.85,23.72547
88.9,20.75463
88.95,18.10213
89,15.89642
89.05,14.04121
89.1,12.21995
89.15,10.985
89.2,10.02373
89.25,8.891276
89.3,7.703897
89.35,6.720916
89.4,5.738427
89.45,4.771628
89.5,4.144973
89.55,3.807616
89.6,3.554647
89.65,3.203933
89.7,2.993402
89.75,2.843657
89.8,2.548059
89.85,2.187564
89.9,1.727952
89.95,1.289459
90,0.8820148
90.05,0.6258245
90.1,0.9698924
90.15,2.172118
90.2,4.203077
90.25,7.988263
90.3,14.47643
90.35,25.29579
90.4,41.69156
90.45,66.64304
90.5,100.5662
