Data File Name,Nexterajlc_High Sensitivity DNA Assay_DE24802700_2017-11-14_10-57-20.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Tuesday, November 14, 2017 6:57:20 PM"
Date Last Modified,"Tuesday, December 05, 2017 9:51:38 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
79.8,-1.84452
79.85,-2.058208
79.9,-2.167491
79.95,-2.263913
80,-2.466782
80.05,-2.498382
80.1,-2.655442
80.15,-2.747484
80.2,-2.794956
80.25,-2.841177
80.3,-2.856004
80.35,-2.968898
80.4,-3.093503
80.45,-3.242083
80.5,-3.365534
80.55,-3.443411
80.6,-3.490937
80.65,-3.48329
80.7,-3.468769
80.75,-3.465835
80.8,-3.501143
80.85,-3.478578
80.9,-3.51265
80.95,-3.550629
81,-3.552094
81.05,-3.515999
81.1,-3.480798
81.15,-3.548092
81.2,-3.64094
81.25,-3.695151
81.3,-3.698538
81.35,-3.739951
81.4,-3.780824
81.45,-3.811602
81.5,-3.825074
81.55,-3.813237
81.6,-3.826533
81.65,-3.878861
81.7,-3.913502
81.75,-3.945681
81.8,-4.00355
81.85,-4.003397
81.9,-3.92217
81.95,-3.856184
82,-3.819809
82.05,-3.846191
82.1,-3.834768
82.15,-3.731311
82.2,-3.54227
82.25,-3.08936
82.3,-2.021404
82.35,9.507087E-02
82.4,4.114365
82.45,10.62322
82.5,20.74467
82.55,35.77557
82.6,56.1708
82.65,81.82486
82.7,111.8235
82.75,143.7661
82.8,175.3831
82.85,204.5586
82.9,227.9426
82.95,244.3666
83,251.0571
83.05,246.7575
83.1,233.5318
83.15,213.063
83.2,188.7354
83.25,163.4773
83.3,139.1414
83.35,116.6577
83.4,96.6935
83.45,80.10608
83.5,67.22295
83.55,57.68138
83.6,50.66849
83.65,45.3195
83.7,40.95783
83.75,36.91006
83.8,33.31562
83.85,30.75491
83.9,29.17021
83.95,27.9059
84,26.60237
84.05,25.03069
84.1,23.36328
84.15,21.57077
84.2,20.27523
84.25,19.04696
84.3,17.87061
84.35,16.38788
84.4,14.70759
84.45,13.316
84.5,12.28479
84.55,11.4798
84.6,10.84242
84.65,10.2095
84.7,9.410764
84.75,8.438086
84.8,7.435237
84.85,6.721733
84.9,6.108327
84.95,5.349636
85,4.812805
85.05,4.111487
85.1,3.288825
85.15,2.331606
85.2,1.568067
85.25,0.9533762
85.3,0.4421853
85.35,5.107401E-02
85.4,-0.1480919
85.45,-0.3929999
85.5,-0.6778767
85.55,-0.9094524
85.6,-1.06872
85.65,-1.182652
85.7,-1.344706
85.75,-1.418723
85.8,-1.501
85.85,-1.670159
85.9,-1.799228
85.95,-1.888478
86,-2.015793
86.05,-2.182798
86.1,-2.47706
86.15,-2.463279
86.2,-2.640483
86.25,-2.64493
86.3,-2.540336
86.35,-2.575211
86.4,-2.69146
86.45,-2.893382
86.5,-3.044224
86.55,-3.01872
86.6,-2.899942
86.65,-2.57365
86.7,-1.790028
86.75,-0.367969
86.8,2.499532
86.85,7.245749
86.9,14.95772
86.95,26.39836
87,42.52229
87.05,63.32393
87.1,88.91769
87.15,120.1702
87.2,153.3386
87.25,185.544
87.3,215.4312
87.35,239.3749
87.4,256.3239
87.45,266.3112
87.5,269.1348
87.55,264.3596
87.6,251.7777
87.65,232.3845
87.7,208.3532
87.75,181.814
87.8,155.0388
87.85,131.5679
87.9,111.3659
87.95,95.41753
88,83.00003
88.05,73.90381
88.1,65.85513
88.15,58.98855
88.2,52.74781
88.25,47.56797
88.3,43.20758
88.35,39.98635
88.4,37.17538
88.45,34.412
88.5,31.90376
88.55,29.70969
88.6,27.66465
88.65,25.60834
88.7,23.42252
88.75,21.18183
88.8,19.27391
88.85,17.28109
88.9,15.71994
88.95,14.37555
89,12.83051
89.05,10.71945
89.1,9.110027
89.15,8.026634
89.2,7.38016
89.25,6.526391
89.3,5.6948
89.35,4.650796
89.4,3.502319
89.45,2.386948
89.5,1.63306
89.55,1.16783
89.6,0.7545301
89.65,0.393137
89.7,0.1281198
89.75,0.183428
89.8,0.1881257
89.85,0.7638618
89.9,1.893786
89.95,4.487879
90,9.256607
90.05,16.74737
90.1,27.79133
90.15,42.96372
90.2,61.085
90.25,83.77601
90.3,108.873
90.35,136.2832
90.4,163.9989
90.45,190.6761
90.5,214.3918
90.55,233.6565
90.6,247.1081
90.65,253.5923
90.7,253.5465
90.75,246.6933
90.8,233.8524
90.85,216.0444
90.9,195.6981
90.95,174.6132
91,155.2797
91.05,136.9902
91.1,120.4441
91.15,105.5624
91.2,92.15964
91.25,80.94958
91.3,72.99728
91.35,67.06626
91.4,62.05999
91.45,57.48392
91.5,52.4691
91.55,47.41663
91.6,42.96275
91.65,38.9138
91.7,35.62248
91.75,32.6679
91.8,29.39254
91.85,26.8515
91.9,24.44953
91.95,21.84932
92,19.66019
92.05,17.48348
92.1,15.46919
92.15,13.72223
92.2,12.28783
92.25,11.23723
92.3,10.08592
92.35,8.962916
92.4,7.831913
92.45,6.715018
92.5,5.67064
92.55,4.735953
92.6,3.961164
92.65,3.356025
92.7,2.87896
92.75,2.538355
92.8,2.382424
92.85,1.959477
92.9,1.617097
92.95,1.39958
93,0.9920502
93.05,0.3673708
93.1,-9.200133E-02
93.15,-0.3496681
93.2,-0.5501894
93.25,-0.8352654
93.3,-0.9639741
93.35,-1.053436
93.4,-1.37081
93.45,-1.675259
93.5,-1.746776
93.55,-1.779754
93.6,-1.859468
93.65,-1.847574
93.7,-1.60038
93.75,-0.9233134
93.8,7.115815E-02
93.85,1.95184
93.9,4.931448
93.95,9.666891
94,17.37006
94.05,27.90795
94.1,42.60206
94.15,59.46609
94.2,79.04308
94.25,100.9075
94.3,125.8206
94.35,152.4457
94.4,179.5631
94.45,204.3209
94.5,225.4154
94.55,242.7257
94.6,255.8291
94.65,264.1282
94.7,266.97
94.75,264.693
94.8,256.6274
94.85,242.1771
94.9,225.2354
94.95,207.8857
95,193.1874
