Data File Name,NK_20170802_High Sensitivity DNA Assay_DE24802700_2017-08-02_11-26-52.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan,,
Date Created,"Wednesday, August 02, 2017 6:26:52 PM",,
Date Last Modified,"Wednesday, August 02, 2017 7:18:04 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
63.2,-0.3500214,,
63.25,-0.3471538,,
63.3,-0.2424995,,
63.35,-0.146727,,
63.4,1.91E-02,,
63.45,5.61E-02,,
63.5,-0.1556195,,
63.55,-0.1065996,,
63.6,3.07E-02,,
63.65,5.17E-02,,
63.7,-0.102305,,
63.75,-0.141549,,
63.8,-0.2716863,,
63.85,-0.1928329,,
63.9,8.71E-02,,
63.95,0.2525241,,
64,0.252183,,
64.05,4.79E-02,,
64.1,0.1372064,,
64.15,8.12E-02,,
64.2,0.5008892,,
64.25,0.7055988,,
64.3,0.5470457,,
64.35,0.3928357,,
64.4,0.1681906,,
64.45,0.211294,,
64.5,0.4945575,,
64.55,0.5827251,,
64.6,0.4303032,,
64.65,0.482391,,
64.7,0.9496421,,
64.75,0.9543931,,
64.8,0.9288626,,
64.85,0.5943044,,
64.9,0.2211215,,
64.95,0.4228341,,
65,0.6993482,,
65.05,1.112483,,
65.1,1.195399,,
65.15,1.197623,,
65.2,1.033358,,
65.25,1.129336,,
65.3,1.428994,,
65.35,1.730623,,
65.4,1.899768,,
65.45,1.78511,,
65.5,1.546843,,
65.55,1.404792,,
65.6,1.608218,,
65.65,1.834106,,
65.7,1.951599,,
65.75,2.038908,,
65.8,2.063335,,
65.85,2.006063,,
65.9,2.164128,,
65.95,2.507843,,
66,2.76709,,
66.05,2.803772,,
66.1,2.687726,,
66.15,2.394464,,
66.2,2.050583,,
66.25,2.083245,,
66.3,2.159304,,
66.35,2.161181,,
66.4,2.216171,,
66.45,2.201779,,
66.5,2.21006,,
66.55,2.313487,,
66.6,2.572349,,
66.65,2.609511,,
66.7,2.647562,,
66.75,2.515543,,
66.8,2.554433,,
66.85,2.866331,,
66.9,3.037295,,
66.95,2.907755,,
67,2.868729,,
67.05,2.861253,,
67.1,3.204949,,
67.15,3.397563,,
67.2,3.705514,,
67.25,3.91377,,
67.3,3.952768,,
67.35,4.004608,,
67.4,4.232795,,
67.45,4.278656,,
67.5,3.954544,,
67.55,4.032155,,
67.6,4.067007,,
67.65,4.119006,,
67.7,4.341503,,
67.75,4.77115,,
67.8,5.084992,,
67.85,5.103457,,
67.9,5.124431,,
67.95,4.912704,,
68,4.578413,,
68.05,4.529093,,
68.1,4.929489,,
