Data File Name,NK_JLC_NEXTERA1_High Sensitivity DNA Assay_DE24802700_2017-02-02_14-30-54.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan
Date Created,"Thursday, February 02, 2017 10:30:54 PM"
Date Last Modified,"Thursday, February 02, 2017 11:12:15 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
65.45,-2.432454
65.5,-2.392917
65.55,-2.241737
65.6,-2.234248
65.65,-2.253278
65.7,-2.296311
65.75,-2.357711
65.8,-2.40645
65.85,-2.402652
65.9,-2.392163
65.95,-2.350955
66,-2.271184
66.05,-2.253855
66.1,-2.220933
66.15,-2.259993
66.2,-2.360898
66.25,-2.356464
66.3,-2.316696
66.35,-2.230689
66.4,-2.151732
66.45,-2.105122
66.5,-2.146034
66.55,-2.109283
66.6,-2.069311
66.65,-2.118182
66.7,-2.170318
66.75,-2.211138
66.8,-2.301594
66.85,-2.340719
66.9,-2.303874
66.95,-2.227725
67,-2.124684
67.05,-2.050238
67.1,-1.958284
67.15,-1.943566
67.2,-1.988229
67.25,-2.086776
67.3,-2.202861
67.35,-2.164194
67.4,-2.229315
67.45,-2.240059
67.5,-2.202943
67.55,-2.279551
67.6,-2.358619
67.65,-2.389852
67.7,-2.35942
67.75,-2.33511
67.8,-2.254283
67.85,-2.15338
67.9,-2.24316
67.95,-2.288429
68,-2.377361
68.05,-2.381849
68.1,-2.299304
68.15,-2.239145
68.2,-2.181313
68.25,-2.194705
68.3,-2.185437
68.35,-1.693426
68.4,0.8866171
68.45,7.235353
68.5,21.48636
68.55,48.84283
68.6,91.73818
68.65,147.9672
68.7,212.3818
68.75,275.0906
68.8,325.5943
68.85,354.8968
68.9,358.6428
68.95,336.407
69,291.558
69.05,232.1213
69.1,168.0717
69.15,110.5893
69.2,66.13313
69.25,37.55127
69.3,22.19517
69.35,14.99993
69.4,11.70478
69.45,9.740103
69.5,8.023365
69.55,6.429346
69.6,5.345757
69.65,4.523299
69.7,3.853788
69.75,3.375384
69.8,2.993095
69.85,2.762517
69.9,2.567363
69.95,2.379687
70,2.223207
70.05,1.904891
70.1,1.598706
70.15,1.228173
70.2,0.7672411
70.25,0.3310112
70.3,0.1618571
70.35,8.983837E-02
70.4,5.297117E-02
70.45,-0.1070153
70.5,-0.3307111
70.55,-0.5696869
70.6,-0.7290261
70.65,-0.7310053
70.7,-0.7214749
70.75,-0.7173693
70.8,-0.8336073
70.85,-0.9549664
70.9,-1.044244
70.95,-1.13226
71,-1.20948
71.05,-1.226504
71.1,-1.238353
71.15,-1.3294
71.2,-1.390431
