Data File Name,nextera_nk_0124_High Sensitivity DNA Assay_DE24802700_2018-01-23_12-13-37.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, January 23, 2018 8:13:37 PM"
Date Last Modified,"Tuesday, January 23, 2018 10:22:26 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
78.1,174.8229
78.15,131.1492
78.2,99.626
78.25,78.77193
78.3,66.05576
78.35,58.46335
78.4,52.55442
78.45,46.77408
78.5,41.34592
78.55,35.82711
78.6,31.26032
78.65,27.35806
78.7,24.55834
78.75,21.89106
78.8,19.40278
78.85,17.07278
78.9,14.66605
78.95,12.8594
79,11.16566
79.05,10.02167
79.1,9.044656
79.15,8.265655
79.2,7.484825
79.25,6.714527
79.3,6.344793
79.35,6.015539
79.4,5.947644
79.45,5.649842
79.5,5.349107
79.55,4.99125
79.6,4.487206
79.65,4.205017
79.7,3.704491
79.75,3.321244
79.8,3.001233
79.85,3.035108
79.9,3.111522
79.95,2.977942
80,2.745853
80.05,2.475629
80.1,2.32326
80.15,2.327523
80.2,2.435331
80.25,2.546243
80.3,2.422681
80.35,2.108023
80.4,1.884781
80.45,1.581319
80.5,1.383747
80.55,1.181518
80.6,1.199497
80.65,1.028859
80.7,0.7718519
80.75,0.8075185
80.8,0.8339678
80.85,0.8032579
80.9,0.747706
80.95,0.7334635
81,0.5778389
81.05,0.4674777
81.1,0.4535895
81.15,0.3530163
81.2,0.2220223
81.25,4.196337E-02
81.3,-0.0821028
81.35,-0.1782868
81.4,-0.2075898
81.45,1.241238E-02
81.5,0.1949703
81.55,0.2113681
81.6,5.774714E-02
81.65,8.589397E-02
81.7,7.348876E-02
81.75,0.1777114
81.8,0.4498629
81.85,0.2958825
81.9,1.730582E-02
81.95,-0.1353696
82,4.746103E-02
82.05,2.950701E-02
82.1,0.2326679
82.15,0.3424752
82.2,0.257259
82.25,0.1397979
82.3,-0.1233964
82.35,-0.1072022
82.4,-0.1272777
82.45,-5.846537E-02
82.5,-0.1774865
82.55,-0.36443
82.6,-0.609673
82.65,-0.7139158
82.7,-0.5494366
82.75,-0.0305404
82.8,1.193537
82.85,3.645013
82.9,8.9479
82.95,19.21724
83,37.48602
83.05,66.35857
83.1,109.1861
83.15,163.724
83.2,227.5496
83.25,295.4741
83.3,356.3212
83.35,405.6552
83.4,437.9985
83.45,451.5022
83.5,443.3935
83.55,418.6328
83.6,379.3942
83.65,328.6619
83.7,275.0526
83.75,224.3342
83.8,180.8624
83.85,146.8183
83.9,122.5129
83.95,105.3156
84,92.03273
84.05,80.84127
84.1,71.45863
84.15,63.25512
84.2,55.80806
84.25,49.84661
84.3,44.90999
84.35,40.13307
84.4,35.74624
84.45,32.24628
