Data File Name,nk_03_06_2018_High Sensitivity DNA Assay_DE24802700_2018-03-06_15-11-01.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, March 06, 2018 11:11:01 PM",,
Date Last Modified,"Tuesday, March 06, 2018 11:52:20 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
70.05,26.93214,,
70.1,27.0243,,
70.15,26.90908,,
70.2,26.48316,,
70.25,25.94769,,
70.3,25.35679,,
70.35,24.99512,,
70.4,25.12119,,
70.45,26.08024,,
70.5,27.27081,,
70.55,27.81322,,
70.6,27.63381,,
70.65,27.60676,,
70.7,27.67577,,
70.75,28.14736,,
70.8,28.9375,,
70.85,29.80707,,
70.9,29.82883,,
70.95,29.67623,,
71,29.47988,,
71.05,29.56365,,
71.1,29.66701,,
71.15,29.86519,,
71.2,30.19372,,
71.25,30.49937,,
71.3,30.57815,,
71.35,30.2801,,
71.4,29.57152,,
71.45,29.48078,,
71.5,29.63024,,
71.55,30.06524,,
71.6,30.90945,,
71.65,31.84171,,
71.7,32.5568,,
71.75,32.79262,,
71.8,32.58532,,
71.85,32.11821,,
71.9,31.60428,,
71.95,31.21857,,
72,31.01365,,
72.05,31.14439,,
72.1,31.28622,,
72.15,31.84419,,
72.2,32.8503,,
72.25,33.84524,,
72.3,34.31891,,
72.35,34.47925,,
72.4,34.58129,,
72.45,34.83274,,
72.5,34.83664,,
72.55,35.20575,,
72.6,34.84051,,
72.65,33.74813,,
72.7,33.36491,,
72.75,33.56369,,
72.8,33.33092,,
72.85,33.71931,,
72.9,33.71455,,
72.95,33.30561,,
73,32.60214,,
73.05,32.15076,,
73.1,32.50749,,
73.15,33.21581,,
73.2,34.28042,,
73.25,35.32077,,
73.3,35.22915,,
73.35,35.07631,,
73.4,35.0308,,
73.45,35.32876,,
